0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:59 -0500] "GET /ForUs/vendorLg/countdowntime/countdowntime.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:59 -0500] "GET /ForUs/imgLg/bg-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:59 -0500] "GET /ForUs/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:59 -0500] "GET /ForUs/fonts/poppins/Poppins-Medium.ttf HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:59 -0500] "GET /ForUs/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:59 -0500] "GET /ForUs/fontsLg/iconic/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:59 -0500] "GET /ForUs/fontsLg/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:42:59 -0500] "GET /ForUs/images/icons/favicon.ico HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:43:15 -0500] "POST /ForUs/UsuarioSrv HTTP/1.1" 500 28
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:43:15 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Aug/2022:17:58:31 -0500] "POST /ForUs/UsuarioSrv HTTP/1.1" 500 28
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:51:10 -0500] "GET /ForUs/UsuarioSrv HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [19/Aug/2022:21:51:11 -0500] "GET /favicon.ico HTTP/1.1" 404 762
